train_loss,train_acc,test_loss,test_acc
6.160416402660942,0.006268544443980108,5.9426301342074455,0.013965006292372021
5.659491152135462,0.022524969702035186,5.647074224577894,0.02451995290869971
5.387383625278093,0.03677546073801663,5.462888868428156,0.03020338570210693
5.188902522673793,0.04847674370011283,5.38959775414105,0.03645516177485487
5.039758789439203,0.06017802666220903,5.338065801649985,0.042219786465310764
4.916760994770389,0.06853608592084919,5.3215373877083705,0.04526448260463606
4.811659411773465,0.07923440177190856,5.261887433336969,0.04956765314821581
4.7098896578275,0.09076852354883196,5.19313162121215,0.05594121706653676
4.586344286334256,0.0995026954741109,5.198751809734165,0.05935127674258109
4.496933267679389,0.1107024948806887,5.137397252148137,0.06284252831567409
4.382027308478278,0.12094111747252288,5.2093241469982905,0.06462875005074493
4.2637648831946615,0.13703038154540514,5.158082260979237,0.06576543660942638
4.145819981321658,0.14981821221112457,5.206035336347444,0.06901311249137336
4.01408459970947,0.16440302561745163,5.135335099637588,0.0730727073438071
3.8777387033677977,0.1809101926532659,5.199078545047524,0.07510250477002395
3.751518985581381,0.19662334405950938,5.24188054637284,0.07526488856412131
3.61682212957044,0.21384094613230809,5.25465794385474,0.07627978727722973
3.4434597807565424,0.24133896109323416,5.360731373275381,0.0753866764096943
3.2947931590672694,0.25985206235112207,5.426443051233006,0.07380343441724516
3.1088969683078234,0.2923649128672322,5.457152574307125,0.079080907725409
2.938967259390823,0.31259141627314135,5.558459238637666,0.08297811878374538
2.7329074020565884,0.3552175184922061,5.669307842637146,0.0751431007185483
2.5385368968815842,0.3850139997492582,5.82763882528892,0.07940567531360371
2.3319135571877183,0.4240043461908145,5.991707817963134,0.08013640238704177
2.138004632862787,0.4624932090768524,6.102016300075514,0.08066414971785815
1.9431071046093273,0.5072088261105772,6.289205490635426,0.07912150367393334
1.7291298635007246,0.5525512975886999,6.474942272958882,0.07859375634311695
1.550647737244676,0.5941326424004346,6.653648761798358,0.07469654528478058
1.3607472611597524,0.6380960341008818,6.818753884934587,0.07867494824016563
1.1967560859075028,0.6800117012829621,7.012621059083998,0.07583323184346202
