train_loss,train_acc,test_loss,test_acc
6.252933563493229,0.0032178528145764555,6.138193120272321,0.004587342183250112
6.073773309965181,0.006226754147686907,6.057095302577451,0.006211180124223602
5.98961697992158,0.007146140666137323,5.97096006589487,0.009580643851743596
5.9238362960149065,0.00873417192527895,5.9151955524877105,0.010595542564852027
5.855069488801342,0.009569977851142964,5.896609902241554,0.010676734461900702
5.805654633064625,0.01282962096201262,5.806515124897881,0.012097592660252506
5.73861753603315,0.012913201554599022,5.759329730756961,0.014898713108431778
5.667187765182756,0.017175811776505494,5.7095098970907445,0.018795924166768157
5.607153264950847,0.01959964896151114,5.656273646171358,0.01977022693135225
5.547484326389512,0.021856324961343977,5.572186635326769,0.022571347379531523
5.496365039854453,0.024865226294454427,5.635798315470912,0.021637640563471765
5.446662412982434,0.026411467257302854,5.454118492222634,0.028944911297852476
5.418172335992351,0.027414434368339673,5.429460930068363,0.030568749238825965
5.364684739400403,0.031133770738434534,5.38938612756546,0.03316688994438355
5.344010708110771,0.032387479627230556,5.374366146790407,0.03401940486339464
5.299205275473451,0.034142672071544984,5.324221354572713,0.037591848333536314
5.272571321804906,0.035856074219566214,5.324599480612513,0.038850322737790766
5.239980921732746,0.0407037485895775,5.311184361757907,0.039662241708277514
5.2082136691331495,0.03761126666388065,5.263219226375981,0.038931514634839445
5.179045564217954,0.04296042458941034,5.222823521215268,0.045548654244306416
5.154118726354042,0.04375444021898115,5.211204788433486,0.04445256363414931
5.1481000957738505,0.045133519996656775,5.20287558301979,0.04583282588397678
5.131977836857259,0.048267792218646834,5.2684682496392625,0.04489911906791702
5.110900008766614,0.04918717873709725,5.191128847365092,0.0487963301262534
5.094090471754321,0.048142421329767225,5.259769533949696,0.04668534080298786
5.089059709790228,0.05102595177399808,5.180876633671166,0.048877522023302075
5.0660581347028595,0.05014835555184086,5.113158725363297,0.05362724800064954
5.03421979012474,0.05353336955159012,5.148037596054365,0.05354605610360086
5.034305046352872,0.05516319110702495,5.098851247647404,0.053952015588844236
5.003015696018507,0.05549751347737055,5.1159191071002335,0.05399261153736857
